"zip","city"
2719,"Providence-Warwick, RI-MA (Metro)"
2720,"Providence-Warwick, RI-MA (Metro)"
2721,"Providence-Warwick, RI-MA (Metro)"
2723,"Providence-Warwick, RI-MA (Metro)"
2724,"Providence-Warwick, RI-MA (Metro)"
2725,"Providence-Warwick, RI-MA (Metro)"
2726,"Providence-Warwick, RI-MA (Metro)"
2738,Boston
2739,Boston
2740,"Providence-Warwick, RI-MA (Metro)"
2743,"Providence-Warwick, RI-MA (Metro)"
2744,"Providence-Warwick, RI-MA (Metro)"
2745,"Providence-Warwick, RI-MA (Metro)"
2746,"Providence-Warwick, RI-MA (Metro)"
2747,"Providence-Warwick, RI-MA (Metro)"
2748,"Providence-Warwick, RI-MA (Metro)"
2760,"Providence-Warwick, RI-MA (Metro)"
2762,Boston
2763,"Providence-Warwick, RI-MA (Metro)"
2764,"Providence-Warwick, RI-MA (Metro)"
2766,"Providence-Warwick, RI-MA (Metro)"
2767,"Providence-Warwick, RI-MA (Metro)"
2769,"Providence-Warwick, RI-MA (Metro)"
2770,Boston
2771,"Providence-Warwick, RI-MA (Metro)"
2777,"Providence-Warwick, RI-MA (Metro)"
2779,"Providence-Warwick, RI-MA (Metro)"
2780,"Providence-Warwick, RI-MA (Metro)"
2790,"Providence-Warwick, RI-MA (Metro)"
2791,"Providence-Warwick, RI-MA (Metro)"
2861,"Providence-Warwick, RI-MA (Metro)"
7001,New York
7002,New York
7003,New York
7004,New York
7005,New York
7006,New York
7008,New York
7009,New York
7010,New York
7011,New York
7012,New York
7013,New York
7014,New York
7016,New York
7017,New York
7018,New York
7020,New York
7021,New York
7022,New York
7023,New York
7024,New York
7026,New York
7027,New York
7028,New York
7029,New York
7030,New York
7031,New York
7032,New York
7033,New York
7034,New York
7035,New York
7036,New York
7039,New York
7040,New York
7041,New York
7042,New York
7043,New York
7044,New York
7045,New York
7046,New York
7047,New York
7050,New York
7052,New York
7054,New York
7055,New York
7057,New York
7058,New York
7059,New York
7060,New York
7062,New York
7063,New York
7064,New York
7065,New York
7066,New York
7067,New York
7068,New York
7069,New York
7070,New York
7071,New York
7072,New York
7073,New York
7074,New York
7075,New York
7076,New York
7077,New York
7078,New York
7079,New York
7080,New York
7081,New York
7082,New York
7083,New York
7086,New York
7087,New York
7088,New York
7090,New York
7092,New York
7093,New York
7094,New York
7095,New York
7102,New York
7103,New York
7104,New York
7105,New York
7106,New York
7107,New York
7108,New York
7109,New York
7110,New York
7111,New York
7112,New York
7114,New York
7201,New York
7202,New York
7203,New York
7204,New York
7205,New York
7206,New York
7208,New York
7302,New York
7304,New York
7305,New York
7306,New York
7307,New York
7310,New York
7311,New York
7401,New York
7403,New York
7405,New York
7407,New York
7410,New York
7416,New York
7417,New York
7418,New York
7419,New York
7420,New York
7421,New York
7422,New York
7423,New York
7424,New York
7430,New York
7432,New York
7435,New York
7436,New York
7438,New York
7439,New York
7440,New York
7442,New York
7444,New York
7446,New York
7450,New York
7452,New York
7456,New York
7457,New York
7458,New York
7460,New York
7461,New York
7462,New York
7463,New York
7465,New York
7470,New York
7480,New York
7481,New York
7495,New York
7501,New York
7502,New York
7503,New York
7504,New York
7505,New York
7506,New York
7508,New York
7512,New York
7513,New York
7514,New York
7522,New York
7524,New York
7601,New York
7603,New York
7604,New York
7605,New York
7606,New York
7607,New York
7608,New York
7620,New York
7621,New York
7624,New York
7626,New York
7627,New York
7628,New York
7630,New York
7631,New York
7632,New York
7640,New York
7641,New York
7642,New York
7643,New York
7644,New York
7645,New York
7646,New York
7647,New York
7648,New York
7649,New York
